A,E,Ecum,G_eff,K,L,Lambda,Omega,U,Y_damaged,Y_gross,Y_net,abatecost,dEcum_dt,dK_dt,delta_T,delta_c,f,mu,sigma,t,theta1,y,y_eff
1.6989323086185506,-0.0027794099350947157,-0.03851839196359495,0.3934259209673007,91201694399.97412,9202900419.448303,0.06761289417572303,2.9673330389222726e-36,-0.9098486726622804,31111736608.493755,31111736608.493755,29008182053.5607,2103554554.9330564,-0.0027794099350947157,1241551690.7134342,-3.8518391963594954e-17,0.13522578835144605,0.5,1.5157158730734654,1.732279051650287e-13,53.0,0.02943024848391776,2.704515767028921,2.475940594088045
1.7160068621848585,-0.002862419460450875,-0.041297801898689666,0.3934259209673007,92443246090.68756,9217448899.008924,0.06853751444739829,3.411016883326832e-36,-0.9042615609670389,31587051854.19898,31587051854.19898,29422153831.391098,2164898022.8078814,-0.002862419460450875,1262268461.7438421,-4.129780189868967e-17,0.13707502889479659,0.5,1.533693874988287,1.6979776282246954e-13,54.0,0.029137412618699482,2.7415005778959314,2.506631033564565
1.7332530178673953,-0.0029457641021422495,-0.04416022135914054,0.3934259209673007,93705514552.4314,9231754009.597775,0.06947622909049408,3.9002503009765864e-36,-0.8987087673119379,32069372823.895107,32069372823.895107,29841313730.793705,2228059093.101402,-0.0029457641021422495,1282987018.5371714,-4.416022135914055e-17,0.13895245818098817,0.5,1.5519013096272931,1.6643554184903977e-13,55.0,0.028847490519024334,2.779049163619763,2.5377018431880223
1.7506725002961012,-0.003029438723843908,-0.04710598546128279,0.3934259209673007,94988501570.96857,9245819017.464935,0.07042917483860973,4.437947732557172e-36,-0.89319080682985,32558770205.359043,32558770205.359043,30265682886.035694,2293087319.3233495,-0.003029438723843908,1303711498.6587105,-4.7105985461282795e-17,0.1408583496772195,0.5,1.5703402154214874,1.6313989731151972e-13,56.0,0.028560453192440743,2.8171669935443897,2.569153560122017
1.7682670514337353,-0.0031134381539233767,-0.050135424185126704,0.3934259209673007,96292213069.62727,9259647174.56651,0.07139649125950212,5.027121516445176e-36,-0.8877081560610796,33055315928.250565,33055315928.250565,30695282353.49914,2360033574.751423,-0.0031134381539233767,1324445817.2184649,-5.0135424185126706e-17,0.14279298251900427,0.5,1.5890126688113866,1.5990951090815192e-13,57.0,0.028276271934976855,2.855859650380085,2.600986702171677
1.7860384307500734,-0.0031977571924965633,-0.05324886233905008,0.3934259209673007,97616658886.84573,9273241717.402555,0.07237832074463402,5.6708826808062135e-36,-0.8822612549280365,33559083168.234146,33559083168.234146,31130133082.787846,2428950085.4462996,-0.0031977571924965633,1345193672.2152824,-5.324886233905009e-17,0.14475664148926803,0.5,1.6079207841375247,1.5674309044130266e-13,58.0,0.027994918328270103,2.8951328297853607,2.633201764094705
1.803988415397857,-0.0032823906179040487,-0.05644661953154664,0.3934259209673007,98961852559.06102,9286605865.909374,0.07337480849846818,6.372441713078367e-36,-0.8768505086349803,34070146350.592575,34070146350.592575,31570255886.603058,2499890463.989515,-0.0032823906179040487,1365958549.3675604,-5.644661953154665e-17,0.14674961699693634,0.5,1.6270667135263557,1.5363936930056562e-13,59.0,0.027716364236725355,2.9349923399387268,2.665799213829383
1.8221188003905089,-0.0033673331926316785,-0.059729010149450694,0.3934259209673007,100327811108.42857,9299742822.4049,0.07438610252754642,7.13510930686637e-36,-0.8714762894939577,34588581153.361244,34588581153.361244,32015671409.404957,2572909743.9562893,-0.0033673331926316785,1386743726.4595633,-5.97290101494507e-17,0.14877220505509287,0.5,1.6464526467725593,1.5059710595610108e-13,60.0,0.02744058180470132,2.975444101101857,2.6987794886399246
1.8404313987816374,-0.003452579668698938,-0.06309634334208238,0.3934259209673007,101714554834.88814,9312655770.586002,0.07541235362938678,7.962297086283887e-36,-0.8661389386782761,35114464510.00905,35114464510.00905,32466400094.87369,2648064415.135354,-0.003452579668698938,1407552277.2303324,-6.309634334208238e-17,0.15082470725877356,0.5,1.6660808112186383,1.476150834620071e-13,61.0,0.02716754345372499,3.016494145175471,2.7321429911792867
1.858928041846342,-0.003538124792538183,-0.06654892301078132,0.3934259209673007,103122107112.11847,9325347874.57652,0.07645371538122486,8.8575183077898e-36,-0.8608387679050147,35647874611.68917,35647874611.68917,32922462152.181496,2725412459.5076756,-0.003538124792538183,1428387074.8303757,-6.654892301078132e-17,0.15290743076244973,0.5,1.6859534716325826,1.446921089695253e-13,62.0,0.026897221879733726,3.058148615248994,2.7658900854693274
1.8776105792643432,-0.003623963309387341,-0.0700870478033195,0.3934259209673007,104550494186.94885,9337822278.024754,0.0775103441286225,9.824388539569583e-36,-0.8555760610482251,36188890909.08082,36188890909.08082,33383877521.084785,2805013387.996032,-0.003623963309387341,1449250794.8695145,-7.008704780331949e-17,0.15502068825724502,0.5,1.7060729300843,1.418270132498852e-13,63.0,0.026629590050344862,3.1004137651449004,2.8000210927980262
